metric_id,metric_unit,asset_id,opc_ns,opc_id,notes
053A6LBE54AA771XB01,,kgw,4,053_A6_LBE54_AA771%#_#%%#_#%XB01,external
053A6LBE54AA771XB95,,kgw,4,053_A6_LBE54_AA771%#_#%%#_#%XB95,external
053A6LBE54CT901XQ01,°C,kgw,4,053_A6_LBE54_CT901%#_#%%#_#%XQ01,external - °C
053A6LBE54DT010XQ37,°C,kgw,4,053_A6_LBE54_DT010%#_#%%#_#%XQ37,external - °C
053A6LBE54DT010XQ91,°C,kgw,4,053_A6_LBE54_DT010%#_#%%#_#%XQ91,external - °C
053A6MAA00CE001XQ01,,kgw,4,053_A6_MAA00_CE001%#_#%%#_#%XQ01,DT
053A6MAA50CG001XQ01,%,kgw,4,053_A6_MAA50_CG001%#_#%%#_#%XQ01,external - %
053A6MAA50CP901XQ01,bar,kgw,4,053_A6_MAA50_CP901%#_#%%#_#%XQ01,external - bar
053A6MAA50CT003XQ01,°C,kgw,4,053_A6_MAA50_CT003%#_#%%#_#%XQ01,external - °C
053A6MAA50CT004XQ01,°C,kgw,4,053_A6_MAA50_CT004%#_#%%#_#%XQ01,external - °C
053A6MAA50CT901XQ01,°C,kgw,4,053_A6_MAA50_CT901%#_#%%#_#%XQ01,external - °C
053A6MAA50CT902XQ01,K,kgw,4,053_A6_MAA50_CT902%#_#%%#_#%XQ01,external - K
053A6MAA50CT903XQ01,°C,kgw,4,053_A6_MAA50_CT903%#_#%%#_#%XQ01,external - °C
053A6MAA50CT940XQ01,K,kgw,4,053_A6_MAA50_CT940%#_#%%#_#%XQ01,external - K
053A6MAA50CT950XQ01,K,kgw,4,053_A6_MAA50_CT950%#_#%%#_#%XQ01,external - K
053A6MAA50CT960XQ01,K,kgw,4,053_A6_MAA50_CT960%#_#%%#_#%XQ01,external - K
053A6MAA52CP901XQ01,bar,kgw,4,053_A6_MAA52_CP901%#_#%%#_#%XQ01,external - bar
053A6MAA52CT701XQ01,°C,kgw,4,053_A6_MAA52_CT701%#_#%%#_#%XQ01,external - °C
053A6MAA52CT702XQ01,°C,kgw,4,053_A6_MAA52_CT702%#_#%%#_#%XQ01,external - °C
053A6MAA52CT901XQ01,°C,kgw,4,053_A6_MAA52_CT901%#_#%%#_#%XQ01,external - °C
053A6MAD50CG901XQ01,mm,kgw,4,053_A6_MAD50_CG901%#_#%%#_#%XQ01,external - mm
053A6MAD50CS701XQ01,1/min,kgw,4,053_A6_MAD50_CS701%#_#%%#_#%XQ01,external - 1/min
053A6MAD50CS702XQ01,1/min,kgw,4,053_A6_MAD50_CS702%#_#%%#_#%XQ01,external - 1/min
053A6MAD50CS703XQ01,1/min,kgw,4,053_A6_MAD50_CS703%#_#%%#_#%XQ01,external - 1/min
053A6MAD50CS901XQ01,1/min,kgw,4,053_A6_MAD50_CS901%#_#%%#_#%XQ01,external - 1/min
053A6MAD50CT901XQ01,°C,kgw,4,053_A6_MAD50_CT901%#_#%%#_#%XQ01,external - °C
053A6MAD50CT902XQ01,°C,kgw,4,053_A6_MAD50_CT902%#_#%%#_#%XQ01,external - °C
053A6MAD50CT903XQ01,°C,kgw,4,053_A6_MAD50_CT903%#_#%%#_#%XQ01,external - °C
053A6MAD50CY901XQ01,µm,kgw,4,053_A6_MAD50_CY901%#_#%%#_#%XQ01,external - µm
053A6MAD51CT901XQ01,°C,kgw,4,053_A6_MAD51_CT901%#_#%%#_#%XQ01,external - °C
053A6MAD51CY901XQ01,µm,kgw,4,053_A6_MAD51_CY901%#_#%%#_#%XQ01,external - µm
